	A21	A22	AC1	AC2	AC3	A23
NM_032291	78	151	195	342	70	87
NM_001080397	235	136	949	1981	768	128
NM_032785	360	554	713	910	887	495
NM_001145278	1263	1562	1941	4008	3583	1718
NM_001145277	1263	1562	1941	4008	3583	1718
NR_126031	409	455	234	151	328	480
NM_018090	1263	1562	1941	4008	3583	1718
NM_052998	1063	1110	1000	1747	1354	1184
NM_013943	4432	4028	7052	13804	9532	4953
NM_001293562	1063	1110	1000	1747	1354	1184
NM_001301824	1063	1110	1000	1747	1354	1184
NM_001301823	1063	1110	1000	1747	1354	1184
NM_001301826	409	455	234	151	328	480
NM_001301825	807	588	550	332	434	812
NM_003243	2253	1588	1308	1566	1648	2003
NR_036634	2253	1588	1308	1566	1648	2003
NM_001195684	2293	1648	1359	1610	1759	2011
NM_001195683	2253	1588	1308	1566	1648	2003
NM_001918	4658	5587	3688	3818	5416	5578
NM_001001740	14056	17511	15241	11099	19960	15434
NM_022457	14056	17511	15241	11099	19960	15434
NM_001303242	1339	1662	2601	3461	2732	1419
NM_001303229	1339	1662	2601	3461	2732	1419
NM_001286644	14056	17511	15241	11099	19960	15434
NM_021222	1339	1662	2601	3461	2732	1419
NM_001303243	1339	1662	2601	3461	2732	1419
NM_030806	4055	4580	315	952	656	3484
NR_130132	1339	1662	2601	3461	2732	1419
NR_130131	1339	1662	2601	3461	2732	1419
NR_130130	1339	1662	2601	3461	2732	1419
NR_130135	1339	1662	2601	3461	2732	1419
NM_001270410	7656	8106	7992	12839	11457	8009
NM_001270409	7032	7617	7213	10891	10114	7410
NM_173083	7032	7617	7213	10891	10114	7410
NM_017891	3313	3242	3486	5051	3604	3113
NM_001033582	1826	1898	3207	6555	3714	1597
NM_015215	11383	11233	14521	17133	16985	10981
NM_001242874	1989	2366	3773	8147	4421	2020
NM_199454	317	249	7587	15401	8333	293
NM_001033581	1989	2366	3773	8223	4421	2046
NM_012405	2538	2988	3488	6060	4502	3335
NM_002744	2661	2757	4709	10283	5941	2608
NM_022114	317	249	7587	15401	8333	293
NM_001099850	323	344	403	922	700	360
NM_001039361	0	1	1	0	15	1
NM_001291381	0	1	1	0	15	1
NM_032409	1530	1939	2960	4944	2477	1815
NM_017449	312	487	1889	3938	1884	418
NM_004442	312	487	1889	3938	1884	418
NR_046507	1693	1814	2011	3569	2068	1766
NM_032236	5612	5768	7766	9925	9790	5532
NM_001166007	8334	8517	11889	15238	14025	7988
NM_001166006	5319	5746	6350	7104	7424	5078
NM_004437	8334	8517	11889	15238	14025	7988
NM_001145454	5419	5716	8061	9629	11663	5533
NM_001020658	18420	18931	24336	21741	27086	17947
NM_001282562	3827	4440	5000	7458	6920	3759
NM_001282561	3827	4440	5000	7458	6920	3759
NM_001282560	3698	4103	4740	7302	6354	3438
NM_001990	3827	4440	5000	7458	6920	3759
NM_014676	18420	18931	24336	21741	27086	17947
NR_073499	8191	8839	11893	11491	11794	8001
NR_073498	4990	5629	7616	7557	7724	5315
NM_006559	4990	5629	7616	7557	7724	5315
NM_001271878	4990	5629	7616	7557	7724	5315
NM_006600	4438	5426	5057	6852	5537	3999
NM_203343	8334	8517	11889	15238	14025	7988
NM_203342	8334	8517	11889	15238	14025	7988
NM_001166005	8334	8517	11889	15238	14025	7988
NM_005119	13125	13585	17350	19244	18138	11887
NM_001281956	250	339	316	426	440	285
NM_012090	16532	16641	18874	19749	23331	15276
NM_005066	9413	10640	11841	11423	15002	10681
NM_052896	250	339	316	426	440	285
NM_021639	5220	5601	7499	9769	9201	5556
NM_130440	1911	1931	1741	2557	2138	1587
NM_001194986	53	137	1955	2150	1405	68
NM_002840	1911	1931	1741	2557	2138	1587
NM_018150	4829	4737	8493	10962	8284	5019
NM_015306	12396	14297	13482	14232	18187	12525
NM_153035	774	927	2235	1593	1905	1046
NM_007051	21416	24584	19925	16171	25676	23300
NM_001193600	2411	2298	3920	4071	4455	1985
NM_001193599	2411	2298	3920	4071	4455	1985
NM_021080	532	772	1647	1465	2103	690
NM_001193617	2411	2298	3920	4071	4455	1985
NM_002867	478	440	887	1077	864	313
NM_002979	2411	2298	3920	4071	4455	1985
NR_130900	937	1054	2448	1661	2343	1185
NM_001113411	3453	3110	4474	3580	5483	2845
NM_014288	3150	4250	3056	3827	5653	3739
NM_001017415	3575	4466	4496	6060	5276	3896
NM_001206739	3150	4250	3056	3827	5653	3739
NM_005595	540	690	300	388	295	458
NR_103473	3059	2711	4010	2921	5226	2571
NM_001293274	3199	3672	6639	4251	7124	3220
NM_001134673	540	690	300	388	295	458
NM_020925	3608	4540	7788	5937	9050	4286
NM_001198689	73	218	172	687	124	206
NM_001198688	72	193	166	685	123	169
NM_001198687	73	200	172	687	124	175
NM_001145511	540	691	355	389	297	502
NM_001145512	540	690	300	388	295	458
NM_003368	3529	4465	4440	6010	5174	3887
NM_002303	1426	2252	3465	4772	4950	2031
NM_001017416	3575	4466	4496	6060	5276	3896
NM_018291	3453	3110	4474	3580	5483	2845
NM_001003679	1426	2247	3464	4769	4766	2029
NM_001003680	1426	2229	3464	4769	4766	1998
NR_045147	3150	4250	3056	3827	5653	3739
NM_020794	700	730	26905	18008	37446	636
NM_173808	532	623	456	598	378	653
NM_001160011	287	170	927	935	919	257
NM_152996	298	195	941	978	954	277
NM_005482	1561	1737	2843	1931	3925	1634
NM_012128	85	45	1	51	7	52
NR_110682	3293	4133	2067	2647	3139	3622
NM_001134445	21451	26152	1301	2324	3335	23210
NM_032270	213	821	285	286	700	727
NR_024602	85	45	1	51	7	52
NR_125991	2	0	0	0	0	1
NM_001252271	4839	6083	3159	1808	4784	5059
NR_033998	818	945	317	757	909	1287
NM_001252269	5876	7700	3937	2799	5705	6817
NM_001252270	5876	7700	3937	2799	5705	6817
NM_002061	1290	905	1220	717	1160	1225
NM_001252273	11099	13197	7057	4875	10628	12046
NM_001006605	5876	7700	3937	2799	5705	6817
NM_001113226	661	647	58	287	135	698
NM_001113228	661	647	58	287	135	698
NM_014917	661	647	58	287	135	698
NM_001042678	3519	3189	1277	2688	1906	3061
NM_001204269	107	5	3	13	9	29
NM_002884	4576	4773	1927	2751	4054	4067
NM_006496	1834	1473	1259	2027	2141	2187
NM_001042679	3415	3106	1269	2685	1891	2942
NM_001010935	4576	4773	1927	2751	4054	4067
NM_006608	3922	3592	1365	2014	2827	3642
NM_175744	3519	3189	1277	2688	1906	3061
NM_001291896	4510	4621	1773	2505	3968	3959
NM_024408	12349	13269	11481	12219	15816	12525
NM_006784	3179	3248	1569	1209	2468	3303
NM_001200001	10443	11794	10169	11040	14753	11060
NM_002614	7247	7493	2368	1816	4070	7865
NR_104217	39733	40004	38977	44306	48189	40460
NM_001201326	7247	7493	2368	1816	4070	7865
NM_001201325	7247	7493	2368	1816	4070	7865
NM_001039703	113027	118500	103111	124243	134579	115025
NM_001278267	176728	189940	153493	185012	201427	182506
NM_001302371	113027	118500	103111	124243	134579	115025
NM_001037501	3643	4590	2767	3106	3555	3951
NM_020205	8725	9521	10618	10948	12870	8751
NM_001277444	38513	43634	38250	42224	48224	39742
NR_102404	3643	4590	2767	3106	3555	3951
NR_102405	3643	4590	2767	3106	3555	3951
NM_001037675	3643	4590	2767	3106	3555	3951
NM_015327	6486	7143	8481	10500	7608	7228
NM_001043351	9980	11424	13770	16543	13049	9290
NR_103461	9980	11424	13770	16543	13049	9290
NM_001043353	9980	11424	13770	16543	13049	9290
NM_001043352	9980	11424	13770	16543	13049	9290
NM_153649	9980	11424	13770	16543	13049	9290
NM_001278188	9980	11424	13770	16543	13049	9290
NM_001278191	6206	7152	6789	7391	7427	5811
NM_001278190	9980	11424	13770	16543	13049	9290
NM_001278189	9980	11424	13770	16543	13049	9290
NM_152263	8128	8637	11694	16358	11373	7333
NR_002188	6590	6404	8045	10511	11171	6290
NM_001136219	70	4	0	0	1	2
NM_021642	70	4	0	0	1	2
NM_001204963	25412	29566	1328	1653	3594	26241
NM_001204961	25412	29566	1328	1653	3594	26241
NM_002585	25412	29566	1328	1653	3594	26241
NR_036683	370	307	852	816	511	599
NM_001136127	47555	58471	189652	119871	270459	53785
NM_022093	285	201	348	360	382	193
NM_001163629	57	72	152	279	162	116
NM_005092	54	35	51	3	4	1
NM_015569	47555	58471	189652	119871	270459	53785
NM_001278252	2801	2929	10284	7129	11861	3180
NM_025063	25	27	45	62	64	63
NM_201569	10941	12924	11299	10742	15079	12251
NM_201568	10941	12924	11299	10742	15079	12251
NM_032360	15450	18336	17915	17974	25858	16336
NM_003101	4771	5561	5883	6695	8561	4804
NM_001137669	87	102	85	269	67	57
NM_001252511	4771	5561	5883	6695	8561	4804
NM_001174061	10941	12924	11299	10742	15079	12251
NM_170692	10785	13170	12701	12815	16502	11404
NM_001252512	4771	5561	5883	6695	8561	4804
NM_173156	10941	12924	11299	10742	15079	12251
NM_021165	17	16	20	123	23	35
NR_045530	4771	5561	5883	6695	8561	4804
NM_000963	420	429	15	14	63	440
NM_194314	2800	3353	8165	4572	11080	3203
NM_133494	6949	8057	9727	9103	14168	7834
NM_001271872	5881	5982	8470	6058	9429	5781
NM_002481	4807	5303	6454	7625	9311	4559
NM_015326	10629	10842	15909	12638	17568	9674
NM_001170637	10629	10842	15909	12638	17568	9674
NM_001167858	1850	1898	2152	4105	4126	1476
NM_001167857	1850	1898	2152	4105	4126	1476
NM_001271870	5817	5944	8352	6050	9224	5735
NM_001300952	9614	10121	14153	11331	15553	8833
NR_120535	3242	3045	4872	3503	4822	3069
NM_001243513	34081	41792	1712	2814	5060	36384
NM_001243512	34081	41792	1712	2814	5060	36384
NM_001243511	54248	64676	2485	3797	7750	57524
NM_001243510	54248	64676	2485	3797	7750	57524
NM_001243509	47030	56793	2241	3497	6866	50721
NM_001243507	47030	56793	2241	3497	6866	50721
NM_001243506	49390	59752	2334	3601	7207	53085
NM_001243505	49814	59998	2338	3609	7226	53202
NM_001122834	14107	16895	5056	6762	8593	17272
NM_018664	55	11	405	455	649	13
NM_206595	49390	59752	2334	3601	7207	53085
NM_206594	49390	59752	2334	3601	7207	53085
NM_001170587	14063	16893	4988	6149	8320	17216
NM_001170564	14107	16895	5056	6762	8593	17272
NM_001170588	14063	16893	4988	6149	8320	17216
NM_001170580	14055	16812	4735	5168	7626	17188
NM_206933	3656	3331	2916	2192	3238	3295
NM_018194	14063	16893	4988	6149	8320	17216
NM_001134285	54248	64676	2485	3797	7750	57524
NM_004446	4802	6074	16211	16751	22978	4939
NM_001373	26765	31762	34838	27212	43735	26683
NR_031644	8265	9698	533	841	1412	9347
NR_002753	11193	12089	25154	26197	34315	10411
NR_028400	7021	7284	8492	7114	9696	7078
NR_034037	107	199	359	424	191	215
NM_018230	5856	7511	6818	10014	8929	6463
NM_145214	5819	5775	8270	13958	11279	5163
NR_028393	7644	8192	9676	8059	11163	7999
NR_028396	7219	7383	8610	7298	9933	7306
NR_028395	7219	7383	8610	7298	9933	7306
NR_028394	7219	7383	8610	7298	9933	7306
NR_028398	7219	7383	8610	7298	9933	7306
NR_028397	7219	7383	8610	7298	9933	7306
NR_028399	6819	7008	8369	6810	9261	6870
NM_000081	1427	954	1820	1991	1860	1285
NR_027247	92	126	315	244	361	137
NM_001282775	246	379	249	471	445	236
NM_002924	246	379	249	471	445	236
NM_000254	9710	11789	11881	11551	15290	10300
NM_001301365	1577	1186	3238	4745	3206	1607
NM_001282778	246	379	249	471	445	236
NM_001282773	246	379	249	471	445	236
NM_001291940	9710	11789	11881	11551	15290	10300
NM_001291939	9710	11789	11881	11551	15290	10300
NM_032752	7201	7098	7854	11916	8505	6870
NM_001167740	22106	23328	179783	142474	220740	19491
NM_022743	18919	19962	144248	110251	176739	16410
NM_018012	1553	1599	34583	36273	36020	1863
NM_001001918	0	0	0	0	0	0
NR_047525	1786	2183	2415	3028	3708	1982
NR_047524	1786	2194	2416	3048	3709	1982
NR_047523	1786	2194	2416	3048	3709	1982
NR_047521	1786	2194	2416	3048	3709	1982
NR_047519	1786	2194	2416	3048	3709	1982
NM_001198994	3982	4857	8039	16492	9392	5475
NM_001198993	3422	3994	6148	13939	7095	4493
NM_033489	10790	11348	13679	26635	14275	10330
NM_033487	10790	11348	13679	26635	14275	10330
NM_033486	10790	11348	13679	26635	14275	10330
NM_001291345	10790	11348	13679	26635	14275	10330
NM_033490	10790	11348	13679	26635	14275	10330
NM_001787	10790	11348	13679	26635	14275	10330
NM_017900	1834	1794	2894	6144	3142	1635
NM_023018	3183	3488	5088	10801	5727	3931
NM_001014980	67	261	6	182	110	109
NM_003820	62	61	203	429	474	58
NM_003036	4607	4582	5288	8905	6397	4332
NM_001242672	2143	1377	2977	4910	3771	1549
NM_001297605	62	61	203	429	474	58
NM_001282669	393	421	1085	822	800	473
NR_104222	393	421	1085	822	800	473
NM_152492	1206	598	909	1212	1191	949
NM_004402	393	421	1085	822	800	473
NM_001409	534	575	1177	2634	2954	434
NM_018836	28	8	8	48	17	42
NM_001042478	27	6	7	47	15	41
NR_111987	4451	4886	4233	5856	5420	4348
NM_001291594	4451	4886	4233	5856	5420	4348
NM_001199863	461	656	2245	2573	2042	698
NM_001199862	461	674	2245	2574	2072	700
NM_001199861	1332	1439	3987	5054	4250	1401
NM_015102	4451	4886	4233	5856	5420	4348
NM_003636	779	769	3158	3764	3014	884
NM_172130	779	769	3158	3764	3014	884
NM_001199860	713	744	2971	3502	2798	848
NM_001291593	4451	4886	4233	5856	5420	4348
NM_198681	2266	2424	2936	6697	4590	2337
NM_001042663	1754	1770	2613	5177	4301	1937
NM_007274	4008	4364	5199	10050	5714	4340
NM_181864	3283	3729	4425	7071	4795	3632
NM_001242701	6817	6640	6925	8105	8218	6620
NM_001265592	1736	1763	2521	5046	4286	1909
NR_038934	6817	6640	6925	8105	8218	6620
NM_001289863	2931	3083	4491	4745	4440	3234
NM_001289862	2931	3083	4491	4745	4440	3234
NM_001289864	2931	3083	4491	4745	4440	3234
NM_016831	2931	3083	4491	4745	4440	3234
NM_001561	91	27	79	309	213	27
NM_001289861	2931	3083	4491	4745	4440	3234
NM_001042681	26826	30937	32868	33985	38895	28045
NM_004285	3851	3547	6143	11118	7017	3357
NM_012102	26826	30937	32868	33985	38895	28045
NM_024980	746	639	1115	2236	860	486
NM_001282587	2514	2347	3432	5847	4320	2372
NM_001012329	1868	1973	2484	4174	3116	2156
NM_015074	6051	6122	5521	8675	7770	4923
NM_001009566	3678	3365	3951	5952	4663	3649
NM_183416	4179	3836	3880	5913	4982	3190
NM_001105562	7183	6111	12422	16155	13603	6600
NM_006048	7183	6111	12422	16155	13603	6600
NM_014944	3678	3365	3951	5952	4663	3649
NM_020248	1868	1973	2484	4174	3116	2156
NM_001302883	3678	3365	3951	5952	4663	3649
NM_002685	4145	3132	4456	5855	4442	2766
NM_004565	9041	10780	12697	14627	14902	9780
NM_017766	257	267	1376	3426	2268	280
NM_001170754	28	63	15	83	131	48
NM_001079843	490	560	2057	3929	2962	483
NM_001001998	4145	3132	4456	5855	4442	2766
NM_004958	7759	6838	8957	11493	10601	7247
NM_001040197	1539	1239	2827	3634	2806	1135
NM_001040196	1539	1239	2827	3634	2806	1135
NM_001040195	1539	1239	2827	3634	2806	1135
NM_001040194	1539	1239	2827	3634	2806	1135
NM_018156	8557	7963	9970	8073	12402	7347
NM_001127660	2951	3439	4376	6201	4382	3459
NM_001243	310	182	303	588	159	169
NM_014874	2951	3439	4376	6201	4382	3459
NM_020350	1539	1239	2827	3634	2806	1135
NM_001281430	310	182	303	588	159	169
NM_015378	8557	7963	9970	8073	12402	7347
NM_001013630	19	27	20	27	17	4
NM_015209	442	611	3459	6315	3435	428
NM_052929	522	266	1180	1370	1600	529
NM_201628	462	655	3952	6697	4042	498
NM_001017999	256	346	2233	3316	1742	187
NR_027136	68	100	1199	1599	1032	76
NM_001018001	289	378	2752	4414	2166	216
NM_001018000	307	455	3277	5307	2902	257
NR_109898	3524	3836	4712	4756	4963	3178
NM_015001	10034	9446	11262	15482	15003	8869
NM_018994	4118	3845	4183	7425	4695	3955
NM_001287811	3524	3836	4712	4756	4963	3178
NM_015291	3524	3836	4712	4756	4963	3178
NM_017940	12686	13523	11676	14464	16479	12267
NM_007365	200	391	234	596	541	351
NM_013358	72	90	197	180	51	78
NM_001135247	2119	1205	232	725	363	1517
NM_002403	2118	1205	232	725	360	1498
NM_001135248	2118	1205	232	725	360	1498
NR_026567	1249	802	731	868	955	876
NM_017459	2119	1205	232	725	363	1517
NM_018125	1111	1205	2723	5705	4259	1192
NM_032880	103	141	54	138	93	82
NM_001011722	900	968	2032	4047	3244	1011
NM_030812	218	243	43	337	153	177
NM_001136265	2538	2017	3567	5561	4641	1920
NM_004930	10149	11173	15061	22436	17249	10117
NM_013945	28	169	323	503	111	78
NM_001282162	9861	10983	14847	21089	16920	9891
NM_001135254	36	246	329	510	117	115
NM_001206541	10149	11173	15061	22436	17249	10117
NM_020765	17187	19636	24248	20751	22670	16643
NM_001206540	10149	11173	15061	22436	17249	10117
NM_002584	28	169	323	503	111	78
NM_181719	1015	1050	3543	5760	4975	1186
NR_033887	46	16	17	93	11	31
NM_001177520	114	120	1686	1929	1475	228
NM_001198801	17560	18839	26632	27224	31365	17855
NM_001127501	114	120	1686	1929	1475	228
NM_016287	5487	5898	6824	8248	9118	5464
NM_001198802	17560	18839	26632	27224	31365	17855
NM_001113348	3457	3582	5485	9692	6187	3185
NM_000478	114	120	1686	1929	1475	228
NM_001198803	10481	10112	15573	15310	17283	10447
NM_003760	13714	15205	20967	18836	25778	13661
NM_014870	3785	4095	4818	3909	4196	3868
NM_044472	2256	2379	3348	4321	4030	2198
NM_001039802	2623	2685	4044	4624	4317	2525
NM_001791	2623	2685	4044	4624	4317	2525
NM_001083621	3785	4095	4818	3909	4196	3868
NM_001013693	366	289	240	583	487	274
NM_005529	2250	2211	2433	4120	3355	2270
NM_001291860	2250	2211	2433	4120	3355	2270
NM_001142546	6883	6042	7575	9689	8838	5827
NM_004091	2556	2658	4928	8397	7554	3081
NM_003196	895	738	765	1922	1479	945
NM_033631	6883	6042	7575	9689	8838	5827
NM_020448	1060	519	1999	2183	3020	707
NM_001010980	115	106	108	128	132	110
NM_173065	548	446	1052	3462	1688	300
NM_173064	548	446	1052	3462	1688	300
NM_170743	548	446	1052	3462	1688	300
NM_001282564	887	1261	2087	1600	2151	1410
NM_020485	360	314	518	567	625	264
NM_001289010	650	740	713	1376	1057	700
NM_018202	887	1261	2087	1600	2151	1410
NM_020379	650	740	713	1376	1057	700
NM_138618	360	314	518	567	625	264
NM_138617	360	314	518	567	625	264
NM_138616	360	314	518	567	625	264
NM_031286	1220	1198	2514	5648	2532	1210
NM_002953	2357	2511	3779	7280	4259	2183
NM_024674	6949	7834	892	735	1568	6838
NM_032125	3112	2937	5248	8519	4821	2951
NM_001201404	5561	4945	5591	7574	6726	5243
NM_001029882	7011	6711	4394	9091	5995	6652
NM_006990	5561	4945	5591	7574	6726	5243
NR_037580	3112	2937	5248	8519	4821	2951
NR_037577	3112	2937	5248	8519	4821	2951
NR_037576	3112	2937	5248	8519	4821	2951
NR_036473	21874	22530	30167	42706	35984	23501
NR_002909	21874	22530	30167	42706	35984	23501
NM_005644	3305	3490	5792	8236	5034	2984
NM_001048183	7068	5999	7176	13824	9955	6057
NM_001135218	3305	3490	5792	8236	5034	2984
NM_001048199	32055	31741	43907	64796	48993	32908
NR_030726	32055	31741	43907	64796	48993	32908
NR_030725	32055	31741	43907	64796	48993	32908
NM_005704	1130	910	1598	3384	2324	1344
NM_133177	1130	910	1598	3384	2324	1344
NM_133178	1130	910	1598	3384	2324	1344
NM_005626	8525	7976	11017	10797	11465	8161
NM_001195001	1130	910	1598	3384	2324	1344
NR_034182	1224	1334	3326	6519	4720	1454
NM_002379	1107	1248	3158	6329	4222	1415
NM_001195101	2118	2701	5697	4919	6830	2516
NM_001195100	2118	2701	5697	4919	6830	2516
NM_080391	4351	5394	13049	12460	14787	5651
NM_012316	4376	4035	4739	6604	6789	4103
NM_001161708	4320	3704	5207	5469	4533	3970
NR_111980	2113	1949	3536	6857	4707	2055
NM_001291496	2113	1949	3536	6857	4707	2055
NM_001127361	2362	2537	4970	8279	5574	2156
NM_004964	7046	7704	6870	9778	6954	6537
NM_030786	4320	3704	5207	5469	4533	3970
NM_022753	6349	6377	7830	11178	11174	5950
NM_001300826	2362	2537	4970	8279	5574	2156
NM_001040441	2113	1949	3536	6857	4707	2055
NM_001256121	6382	6378	7900	11370	11284	6052
NM_153341	2362	2537	4970	8279	5574	2156
NR_125978	1982	2023	2294	2928	2606	2351
NM_198040	9011	9925	10286	13798	12824	8870
NR_038372	0	19	0	0	0	0
NM_145238	938	1451	2325	2495	2815	1320
NM_001080418	555	466	842	1027	645	339
NM_005095	11847	13665	10006	9189	15037	12180
NM_024874	7100	7408	6801	8599	8548	6773
NM_024852	5280	5918	6523	11084	8559	5170
NM_017629	852	729	2207	2426	2265	1151
NM_177422	5280	5918	6523	11084	8559	5170
NM_178548	1409	993	1581	4085	2608	809
NM_005202	754	924	869	1360	1125	987
NM_001294347	754	924	869	1360	1125	987
NM_000831	60	43	88	47	99	89
NM_001282547	3273	2561	5299	11826	6772	2784
NM_001282546	3273	2561	5299	11826	6772	2784
NM_032017	3273	2561	5299	11826	6772	2784
NM_024640	1807	2696	3659	5123	4501	2540
NM_024700	1270	1195	2354	2630	3049	1511
NM_005540	2081	1708	5944	9893	7378	1607
NM_022157	828	883	1243	2154	1330	1003
NM_001271851	828	883	1243	2154	1330	1003
NM_001720	1223	1383	1116	2516	1098	1390
NM_181809	688	622	925	1679	836	699
NM_012421	4063	5565	4950	5514	6063	4482
NM_001172222	7411	8809	8996	10395	12127	7821
NM_001172221	7657	9466	9657	10690	12419	8049
NM_001172220	14476	16684	17595	18250	21261	15097
NM_001031694	7564	9133	9205	10562	12217	7954
NM_172163	814	1005	1422	3123	1323	525
NM_004700	814	1005	1422	3123	1323	525
NR_024567	2419	2855	4232	5643	5964	2670
NM_001172219	14476	16684	17595	18250	21261	15097
NM_001172218	14476	16684	17595	18250	21261	15097
NM_012236	14476	16684	17595	18250	21261	15097
NM_014947	10103	10335	14737	12338	15770	9895
NM_001198851	10062	10281	14663	11639	15534	9825
NR_038261	2069	1579	3959	2734	4348	1497
NR_038260	733	809	973	697	960	664
NM_173642	408	447	620	642	974	370
NM_001127714	2480	2459	3776	5811	4703	2429
NM_024503	2480	2459	3776	5811	4703	2429
NM_001198850	10463	10748	15851	14101	17394	10308
NM_001198852	10103	10335	14737	12338	15770	9895
NM_001242750	401	321	344	379	339	281
NM_001195831	633	1038	477	360	904	881
NM_152498	522	910	431	304	868	760
NM_015284	5833	5205	7902	10622	9775	4509
NM_001167965	522	910	431	304	868	760
NM_001253357	48	7	9	22	11	57
NM_005424	48	7	9	22	11	57
NM_174971	8582	9770	8711	13230	12272	8086
NM_174970	8582	9770	8711	13230	12272	8086
NM_174969	8582	9770	8711	13230	12272	8086
NR_073020	8582	9770	8711	13230	12272	8086
NR_073021	8582	9770	8711	13230	12272	8086
NM_174968	8582	9770	8711	13230	12272	8086
NM_174967	8582	9770	8711	13230	12272	8086
NM_174966	8582	9770	8711	13230	12272	8086
NM_174965	8582	9770	8711	13230	12272	8086
NM_174964	8582	9770	8711	13230	12272	8086
NM_174963	8582	9770	8711	13230	12272	8086
NM_001301699	8725	9487	12668	15625	14145	8201
NM_001301698	8725	9487	12668	15625	14145	8201
NM_001301701	8725	9487	12668	15625	14145	8201
NM_001301700	8725	9487	12668	15625	14145	8201
NM_014652	1213	1495	1144	1580	1407	883
NR_073019	8582	9770	8711	13230	12272	8086
NM_024066	8725	9487	12668	15625	14145	8201
NR_033827	4054	3792	8000	11060	8288	4148
NM_006279	8582	9770	8711	13230	12272	8086
NM_001270459	8582	9770	8711	13230	12272	8086
NM_001270460	8582	9770	8711	13230	12272	8086
NM_001270461	8582	9770	8711	13230	12272	8086
NM_001270462	8582	9770	8711	13230	12272	8086
NM_001270463	8582	9770	8711	13230	12272	8086
NM_001270464	8582	9770	8711	13230	12272	8086
NM_001270465	8582	9770	8711	13230	12272	8086
NM_001270466	8582	9770	8711	13230	12272	8086
NR_073017	8582	9770	8711	13230	12272	8086
NR_073018	8582	9770	8711	13230	12272	8086
NR_073023	8582	9770	8711	13230	12272	8086
NR_073016	8582	9770	8711	13230	12272	8086
NR_110056	1210	1094	1660	2220	1339	1442
NM_006845	3249	2209	3802	6848	3997	2718
NM_007170	3405	2879	4260	6887	6476	3291
NM_001297655	3249	2209	3802	6848	3997	2718
NM_001297656	2375	1533	2682	4921	2800	1927
NM_001297657	2375	1533	2682	4921	2800	1927
NM_001166588	2116	2831	2233	4119	3142	2686
NM_020365	2481	3211	2454	4656	3388	2939
NM_001261418	2481	3211	2454	4656	3388	2939
NM_020883	3188	4458	4243	5809	6772	3531
NM_003629	6607	6709	8613	13143	10935	6210
NM_001135553	1568	1909	3059	2870	3349	1567
NM_198973	1568	1909	3059	2870	3349	1567
NM_015112	9765	11557	11531	12536	12713	9642
NM_001243766	3171	3441	6732	9418	6831	3094
NM_003684	1568	1909	3059	2870	3349	1567
NM_001290129	930	1107	1364	1826	1245	1119
NM_001290130	930	1107	1364	1826	1245	1119
NM_001303429	6607	6709	8613	13143	10935	6210
NM_001303428	6609	6754	8640	13198	10941	6216
NM_001303427	7847	8020	10859	15962	14269	7296
NM_001114172	6656	6794	8652	13324	10989	6241
NM_017739	1766	2127	3975	4978	4014	1966
NR_024176	1568	1909	3059	2870	3349	1567
NR_024174	1568	1909	3059	2870	3349	1567
NR_002788	207	148	304	359	253	116
NM_178134	339	343	617	528	761	193
NM_001136140	1718	1631	2802	4683	4099	1724
NR_046394	1718	1631	2802	4683	4099	1724
NM_016308	1718	1631	2802	4683	4099	1724
NR_026749	80	123	174	116	94	180
NM_019073	4967	6051	7481	6507	9448	5726
NM_001286239	4967	6051	7481	6507	9448	5726
NM_001286238	4967	6051	7481	6507	9448	5726
NM_021952	13	13	23	38	16	19
NM_001144777	38	24	36	70	23	46
NM_001144776	13	13	23	38	16	19
NM_001144775	13	13	23	38	16	19
NM_001144774	13	13	23	38	16	19
NM_001294348	13	13	23	38	16	19
NM_001981	5359	6706	7681	6904	9043	6230
NM_002525	9440	10929	11728	12414	16214	10469
NM_001144832	2576	2065	3275	5145	4408	2201
NM_001080494	1751	1401	2818	3542	3144	1417
NM_001101662	9440	10929	11728	12414	16214	10469
NM_148909	7758	8232	9595	9048	12642	8504
NM_148908	7758	8232	9595	9048	12642	8504
NM_148906	7758	8232	9595	9048	12642	8504
NM_001242361	9076	10631	10793	11035	15000	10223
NR_036662	7758	8232	9595	9048	12642	8504
NM_001297662	1147	1205	1654	2564	2175	1027
NM_001297663	1909	1575	2839	3893	3476	1604
NM_001297664	1884	1562	2838	3704	3406	1582
NM_001297665	1751	1401	2818	3542	3144	1417
NM_024586	7758	8232	9595	9048	12642	8504
NM_001009881	8723	10754	10247	10869	12337	8405
NM_015269	8723	10754	10247	10869	12337	8405
NM_024646	3729	2974	3491	4920	3712	3115
NM_007324	3645	4634	7310	8573	6869	4169
NM_004799	3645	4634	7310	8573	6869	4169
NM_032449	5196	5657	6627	9221	7364	4746
NM_001004339	925	1054	3444	5101	3123	891
NM_001168551	6254	5771	6439	7884	7771	5670
NM_001018054	10353	11627	18378	21132	19400	10828
NM_033300	10353	11627	18378	21132	19400	10828
NM_004631	10353	11627	18378	21132	19400	10828
NM_147193	336	472	284	51	154	257
NR_033142	6254	5771	6439	7884	7771	5670
NM_017522	10353	11627	18378	21132	19400	10828
NM_018087	6254	5771	6439	7884	7771	5670
NM_016126	1413	1582	1892	2705	2724	1479
NM_147161	1466	1218	2663	1972	2364	1135
NM_001031672	985	913	1016	1885	1410	1015
