	A21	A22	AC1	AC2	AC3	A23
NM_001095	806	827	1260	1548	2149	625
NM_001033873	971	921	2546	3086	1958	741
NM_001173452	4004	4054	5760	9411	5493	3840
NM_014191	1489	1755	713	800	1369	1620
NM_005653	4004	4054	5760	9411	5493	3840
NM_001031628	1023	967	2760	3437	2158	773
NM_001258401	652	619	682	238	400	522
NM_007210	400	525	131	185	208	519
NM_001177984	1489	1755	713	800	1369	1620
NM_001173453	4004	4054	5760	9411	5493	3840
NM_001039960	389	411	572	156	356	298
NM_000224	1265	765	839	2186	1566	564
NM_004693	0	0	0	0	0	0
NM_199187	1265	765	839	2186	1566	564
NM_175834	1	4	6	43	2	1
NM_175078	0	0	0	0	0	0
NM_006856	3026	3750	4347	8006	6238	4073
NM_001206683	2240	2718	3614	5697	4551	3114
NM_001206682	2290	2969	3625	6387	4903	3219
NM_001128914	16927	16838	20296	21501	26602	17213
NM_001243732	1616	1399	1881	3617	2480	1792
NM_001243731	4945	4418	5699	11141	8371	5339
NM_001243730	4945	4418	5699	11141	8371	5339
NM_006897	1085	1484	3005	6387	5025	1099
NM_005016	16927	16838	20296	21501	26602	17213
NM_001128913	16927	16838	20296	21501	26602	17213
NM_001128912	16927	16838	20296	21501	26602	17213
NM_001128911	16927	16838	20296	21501	26602	17213
NM_001098620	16927	16838	20296	21501	26602	17213
NM_001042728	1616	1399	1881	3617	2480	1792
NM_000966	4945	4418	5699	11141	8371	5339
NM_031989	16927	16838	20296	21501	26602	17213
NM_001130060	3026	3750	4347	8006	6238	4073
NR_073163	3342	4068	4631	9150	6875	4474
NM_005337	19	22	11	34	44	35
NM_001184976	19	22	11	34	44	35
NR_120487	16700	16198	17490	22230	24938	14702
NR_120486	16700	16198	17490	22230	24938	14702
NM_012117	17518	19746	31175	34713	43128	18934
NR_036479	1766	1685	1852	4748	3016	1833
NR_036478	1766	1685	1852	4748	3016	1833
NR_036477	1766	1685	1852	4748	3016	1833
NR_036476	1766	1685	1852	4748	3016	1833
NM_001982	641	480	1266	2744	2556	461
NM_001798	1949	1603	2309	2820	2449	1613
NM_052827	1949	1603	2309	2820	2449	1613
NM_001272101	291	417	232	477	439	183
NR_073606	291	417	232	477	439	183
NM_001144996	278	256	217	343	316	317
